Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears
37,No,Travel_Frequently,663,Research & Development,Other,306,Male,3,Research Director,4,12185,10056,1,Yes,14,3,3,10
38,No,Travel_Rarely,119,Sales,Life Sciences,307,Male,3,Sales Executive,3,10609,9647,0,No,12,3,3,17
31,No,Non-Travel,979,Research & Development,Medical,308,Male,2,Manufacturing Director,3,4345,4381,0,No,12,3,4,6
59,No,Travel_Rarely,142,Research & Development,Life Sciences,309,Male,1,Research Scientist,4,2177,8456,3,No,17,3,1,7
37,No,Travel_Frequently,319,Sales,Marketing,311,Male,1,Sales Representative,4,2793,2539,4,No,17,3,3,13
29,No,Travel_Frequently,1413,Sales,Medical,312,Female,3,Sales Executive,4,7918,6599,1,No,14,3,4,11
35,No,Travel_Frequently,944,Sales,Marketing,314,Female,3,Sales Executive,3,8789,9096,1,No,14,3,1,10
29,Yes,Travel_Rarely,896,Research & Development,Medical,315,Male,1,Research Scientist,4,2389,14961,1,Yes,13,3,3,4
52,No,Travel_Rarely,1323,Research & Development,Life Sciences,316,Female,1,Laboratory Technician,4,3212,3300,7,No,15,3,2,6
42,No,Travel_Rarely,532,Research & Development,Technical Degree,319,Male,5,Manager,4,19232,4933,1,No,11,3,4,22
59,No,Travel_Rarely,818,Human Resources,Medical,321,Male,1,Human Resources,3,2267,25657,8,No,17,3,4,7
50,No,Travel_Rarely,854,Sales,Medical,323,Female,5,Manager,4,19517,24118,3,No,11,3,3,32
33,Yes,Travel_Rarely,813,Research & Development,Medical,325,Male,1,Laboratory Technician,4,2436,22149,5,Yes,13,3,3,8
43,No,Travel_Rarely,1034,Sales,Marketing,327,Female,4,Manager,4,16064,7744,5,Yes,22,4,3,22
33,Yes,Travel_Rarely,465,Research & Development,Life Sciences,328,Female,1,Laboratory Technician,1,2707,21509,7,No,20,4,1,13
52,No,Non-Travel,771,Sales,Life Sciences,329,Male,5,Manager,3,19068,21030,1,Yes,18,3,4,33
32,No,Travel_Rarely,1401,Sales,Life Sciences,330,Female,1,Sales Representative,2,3931,20990,2,No,11,3,1,6
32,Yes,Travel_Rarely,515,Research & Development,Life Sciences,331,Male,1,Laboratory Technician,3,3730,9571,0,Yes,14,3,4,4
39,No,Travel_Rarely,1431,Research & Development,Medical,332,Female,1,Laboratory Technician,3,2232,15417,7,No,14,3,3,7
32,No,Non-Travel,976,Sales,Marketing,333,Male,2,Sales Executive,4,4465,12069,0,No,18,3,1,4
41,No,Travel_Rarely,1411,Research & Development,Life Sciences,334,Male,2,Research Scientist,1,3072,19877,2,No,16,3,1,17
40,No,Travel_Rarely,1300,Research & Development,Technical Degree,335,Male,2,Research Scientist,4,3319,24447,1,No,17,3,1,9
45,No,Travel_Rarely,252,Research & Development,Other,336,Male,5,Manager,4,19202,15970,0,No,11,3,3,25
31,No,Travel_Frequently,1327,Research & Development,Medical,337,Male,3,Research Director,3,13675,13523,9,No,12,3,1,9
33,No,Travel_Rarely,832,Research & Development,Life Sciences,338,Female,1,Research Scientist,4,2911,14776,1,No,13,3,3,2
34,No,Travel_Rarely,470,Research & Development,Life Sciences,339,Male,2,Manufacturing Director,1,5957,23687,6,No,13,3,2,13
37,No,Travel_Rarely,1017,Research & Development,Medical,340,Female,1,Research Scientist,1,3920,18697,2,No,14,3,1,17
45,No,Travel_Frequently,1199,Research & Development,Life Sciences,341,Male,2,Manufacturing Director,3,6434,5118,4,No,17,3,4,9
37,Yes,Travel_Frequently,504,Research & Development,Medical,342,Male,3,Manufacturing Director,3,10048,22573,6,No,11,3,2,17
39,No,Travel_Frequently,505,Research & Development,Technical Degree,343,Female,3,Healthcare Representative,3,10938,6420,0,No,25,4,4,20
29,No,Travel_Rarely,665,Research & Development,Life Sciences,346,Male,1,Research Scientist,4,2340,22673,1,No,19,3,1,6
42,No,Travel_Rarely,916,Research & Development,Life Sciences,347,Female,2,Research Scientist,1,6545,23016,3,Yes,13,3,3,10
29,No,Travel_Rarely,1247,Sales,Marketing,349,Male,2,Sales Executive,4,6931,10732,2,No,14,3,4,10
25,No,Travel_Rarely,685,Research & Development,Life Sciences,350,Female,2,Manufacturing Director,3,4898,7505,0,No,12,3,4,5
42,No,Travel_Rarely,269,Research & Development,Medical,351,Female,1,Laboratory Technician,1,2593,8007,0,Yes,11,3,3,10
40,No,Travel_Rarely,1416,Research & Development,Medical,352,Male,5,Research Director,3,19436,5949,0,No,19,3,4,22
51,No,Travel_Rarely,833,Research & Development,Life Sciences,353,Male,1,Research Scientist,4,2723,23231,1,No,11,3,2,1
31,Yes,Travel_Frequently,307,Research & Development,Medical,355,Male,1,Laboratory Technician,2,3479,11652,0,No,11,3,2,6
32,No,Travel_Frequently,1311,Research & Development,Life Sciences,359,Male,1,Laboratory Technician,2,2794,26062,1,No,20,4,3,5
38,No,Non-Travel,1327,Sales,Life Sciences,361,Male,2,Sales Executive,4,5249,19682,3,No,18,3,4,13
32,No,Travel_Rarely,128,Research & Development,Technical Degree,362,Male,2,Laboratory Technician,1,2176,19737,4,No,13,3,4,9
46,No,Travel_Rarely,488,Sales,Technical Degree,363,Female,4,Manager,2,16872,14977,3,Yes,12,3,2,28
28,Yes,Travel_Rarely,529,Research & Development,Life Sciences,364,Male,1,Laboratory Technician,3,3485,14935,2,No,11,3,3,5
29,No,Travel_Rarely,1210,Sales,Medical,366,Male,2,Sales Executive,2,6644,3687,2,No,19,3,2,10
31,No,Travel_Rarely,1463,Research & Development,Medical,367,Male,2,Healthcare Representative,4,5582,14408,0,No,21,4,2,10
25,No,Non-Travel,675,Research & Development,Life Sciences,369,Male,2,Healthcare Representative,1,4000,18384,1,No,12,3,4,6
45,No,Travel_Rarely,1385,Research & Development,Medical,372,Male,4,Healthcare Representative,4,13496,7501,0,Yes,14,3,2,21
36,No,Travel_Rarely,1403,Research & Development,Life Sciences,373,Male,1,Laboratory Technician,4,3210,20251,0,No,11,3,3,16
55,No,Travel_Rarely,452,Research & Development,Medical,374,Male,5,Manager,1,19045,18938,0,Yes,14,3,3,37
47,Yes,Non-Travel,666,Research & Development,Life Sciences,376,Male,3,Manager,2,11849,10268,1,Yes,12,3,4,10
28,No,Travel_Rarely,1158,Research & Development,Medical,377,Male,1,Research Scientist,4,2070,2613,1,No,23,4,4,5
37,No,Travel_Rarely,228,Sales,Medical,378,Male,2,Sales Executive,4,6502,22825,4,No,14,3,2,7
21,No,Travel_Rarely,996,Research & Development,Medical,379,Male,1,Research Scientist,3,3230,10531,1,No,17,3,1,3
37,No,Non-Travel,728,Research & Development,Medical,380,Female,3,Research Director,4,13603,11677,2,Yes,18,3,1,15
35,No,Travel_Rarely,1315,Research & Development,Life Sciences,381,Female,3,Manager,2,11996,19100,7,No,18,3,2,10
38,No,Travel_Rarely,322,Sales,Medical,382,Female,2,Sales Executive,1,5605,19191,1,Yes,24,4,3,8
26,No,Travel_Frequently,1479,Research & Development,Life Sciences,384,Female,2,Manufacturing Director,2,6397,26767,1,No,20,4,1,6
50,No,Travel_Rarely,797,Research & Development,Life Sciences,385,Male,5,Research Director,2,19144,15815,3,No,14,3,1,28
53,No,Travel_Rarely,1070,Research & Development,Medical,386,Male,4,Research Director,3,17584,21016,3,Yes,16,3,4,21
42,No,Travel_Rarely,635,Sales,Life Sciences,387,Male,2,Sales Executive,3,4907,24532,1,No,25,4,3,20
29,No,Travel_Frequently,442,Sales,Life Sciences,388,Male,2,Sales Executive,4,4554,20260,1,No,18,3,1,10
55,No,Travel_Rarely,147,Research & Development,Technical Degree,389,Male,2,Laboratory Technician,4,5415,15972,3,Yes,19,3,4,12
26,No,Travel_Frequently,496,Research & Development,Medical,390,Male,2,Healthcare Representative,1,4741,22722,1,Yes,13,3,3,5
37,No,Travel_Rarely,1372,Research & Development,Life Sciences,391,Female,1,Research Scientist,4,2115,15881,1,No,12,3,2,17
44,Yes,Travel_Frequently,920,Research & Development,Life Sciences,392,Male,1,Laboratory Technician,3,3161,19920,3,Yes,22,4,4,19
38,No,Travel_Rarely,688,Research & Development,Life Sciences,393,Male,2,Healthcare Representative,4,5745,18899,9,No,14,3,2,10
26,Yes,Travel_Rarely,1449,Research & Development,Medical,394,Male,1,Laboratory Technician,2,2373,14180,2,Yes,13,3,4,5
28,No,Travel_Rarely,1117,Research & Development,Life Sciences,395,Female,1,Research Scientist,4,3310,4488,1,No,21,4,4,5
49,No,Travel_Frequently,636,Research & Development,Life Sciences,396,Female,5,Research Director,1,18665,25594,9,Yes,11,3,4,22
36,No,Travel_Rarely,506,Research & Development,Technical Degree,397,Male,2,Research Scientist,2,4485,26285,4,No,12,3,4,10
31,No,Travel_Frequently,444,Sales,Marketing,399,Female,1,Sales Representative,2,2789,3909,1,No,11,3,3,2
26,Yes,Travel_Rarely,950,Sales,Marketing,401,Male,2,Sales Executive,4,5828,8450,1,Yes,12,3,2,8
37,No,Travel_Frequently,889,Research & Development,Medical,403,Male,1,Research Scientist,4,2326,11411,1,Yes,12,3,3,4
42,No,Travel_Frequently,555,Sales,Marketing,404,Female,4,Sales Executive,2,13525,14864,5,No,14,3,4,23
18,Yes,Travel_Rarely,230,Research & Development,Life Sciences,405,Male,1,Laboratory Technician,3,1420,25233,1,No,13,3,3,0
35,No,Travel_Rarely,1232,Sales,Marketing,406,Male,3,Sales Executive,2,8020,5100,0,No,15,3,3,12
36,No,Travel_Frequently,566,Research & Development,Life Sciences,407,Male,1,Laboratory Technician,4,3688,7122,4,No,18,3,4,4
51,No,Travel_Rarely,1302,Research & Development,Medical,408,Male,2,Manufacturing Director,2,5482,16321,5,No,18,3,4,13
41,No,Travel_Rarely,334,Sales,Life Sciences,410,Male,4,Manager,2,16015,15896,1,No,19,3,2,22
18,No,Travel_Rarely,812,Sales,Medical,411,Female,1,Sales Representative,3,1200,9724,1,No,12,3,1,0
28,No,Travel_Rarely,1476,Research & Development,Medical,412,Male,2,Healthcare Representative,1,5661,4824,0,No,19,3,3,9
31,No,Travel_Rarely,218,Sales,Technical Degree,416,Male,2,Sales Executive,4,6929,12241,4,No,11,3,2,10
39,No,Travel_Rarely,1132,Research & Development,Medical,417,Male,3,Healthcare Representative,4,9613,10942,0,No,17,3,1,19
36,No,Non-Travel,1105,Research & Development,Life Sciences,419,Female,2,Laboratory Technician,2,5674,6927,7,No,15,3,3,11
32,No,Travel_Rarely,906,Sales,Life Sciences,420,Male,2,Sales Executive,3,5484,16985,1,No,14,3,3,13
38,No,Travel_Rarely,849,Research & Development,Life Sciences,421,Female,3,Research Director,2,12061,26707,3,No,17,3,3,19
58,No,Non-Travel,390,Research & Development,Life Sciences,422,Male,2,Healthcare Representative,3,5660,17056,2,Yes,13,3,4,12
31,No,Travel_Rarely,691,Research & Development,Technical Degree,423,Male,1,Research Scientist,4,4821,10077,0,Yes,12,3,3,6
31,No,Travel_Rarely,106,Human Resources,Human Resources,424,Male,2,Human Resources,1,6410,17822,3,No,12,3,4,9
45,No,Travel_Frequently,1249,Research & Development,Life Sciences,425,Male,3,Laboratory Technician,1,5210,20308,1,No,18,3,1,24
31,No,Travel_Rarely,192,Research & Development,Life Sciences,426,Male,1,Research Scientist,4,2695,7747,0,Yes,18,3,2,3
33,No,Travel_Frequently,553,Research & Development,Life Sciences,428,Female,3,Manager,2,11878,23364,6,No,11,3,2,12
39,No,Travel_Rarely,117,Research & Development,Medical,429,Male,4,Manager,1,17068,5355,1,Yes,14,3,4,21
43,No,Travel_Frequently,185,Research & Development,Life Sciences,430,Female,1,Laboratory Technician,4,2455,10675,0,No,19,3,1,9
49,No,Travel_Rarely,1091,Research & Development,Technical Degree,431,Female,4,Healthcare Representative,3,13964,17810,7,Yes,12,3,4,25
52,Yes,Travel_Rarely,723,Research & Development,Medical,433,Male,2,Research Scientist,2,4941,17747,2,No,15,3,1,11
27,No,Travel_Rarely,1220,Research & Development,Life Sciences,434,Female,1,Research Scientist,2,2478,20938,1,Yes,12,3,2,4
32,No,Travel_Rarely,588,Sales,Technical Degree,436,Female,2,Sales Executive,2,5228,24624,1,Yes,11,3,4,13
27,No,Travel_Rarely,1377,Sales,Life Sciences,437,Male,2,Sales Executive,3,4478,5242,1,Yes,11,3,1,5
31,No,Travel_Rarely,691,Sales,Marketing,438,Male,2,Sales Executive,4,7547,7143,4,No,12,3,4,13
32,No,Travel_Rarely,1018,Research & Development,Medical,439,Female,2,Research Scientist,4,5055,10557,7,No,16,3,3,10
28,Yes,Travel_Rarely,1157,Research & Development,Medical,440,Male,1,Research Scientist,4,3464,24737,5,Yes,13,3,4,5
30,No,Travel_Rarely,1275,Research & Development,Medical,441,Female,2,Research Scientist,4,5775,11934,1,No,13,3,4,11
31,No,Travel_Frequently,798,Research & Development,Life Sciences,442,Female,3,Manufacturing Director,3,8943,14034,1,No,24,4,1,10
39,No,Travel_Frequently,672,Research & Development,Medical,444,Male,5,Manager,4,19272,21141,1,No,15,3,1,21
39,Yes,Travel_Rarely,1162,Sales,Medical,445,Female,2,Sales Executive,3,5238,17778,4,Yes,18,3,1,12
33,No,Travel_Frequently,508,Sales,Marketing,446,Male,2,Sales Executive,4,4682,4317,3,No,14,3,3,9
47,No,Travel_Rarely,1482,Research & Development,Life Sciences,447,Male,5,Research Director,3,18300,16375,4,No,11,3,2,21
43,No,Travel_Frequently,559,Research & Development,Life Sciences,448,Female,2,Laboratory Technician,3,5257,6227,1,No,11,3,2,9
27,No,Non-Travel,210,Sales,Marketing,449,Male,2,Sales Executive,2,6349,22107,0,Yes,13,3,4,6
54,No,Travel_Frequently,928,Research & Development,Life Sciences,450,Female,2,Research Scientist,3,4869,16885,3,No,12,3,4,20
43,No,Travel_Rarely,1001,Research & Development,Life Sciences,451,Female,3,Healthcare Representative,1,9985,9262,8,No,16,3,1,10
45,No,Travel_Rarely,549,Research & Development,Other,452,Male,2,Research Scientist,4,3697,9278,9,No,14,3,1,12
40,No,Travel_Rarely,1124,Sales,Medical,453,Male,2,Sales Executive,4,7457,13273,2,Yes,22,4,3,6
29,Yes,Travel_Rarely,318,Research & Development,Other,454,Male,1,Laboratory Technician,1,2119,4759,1,Yes,11,3,4,7
29,No,Travel_Rarely,738,Research & Development,Other,455,Male,1,Laboratory Technician,4,3983,7621,0,No,17,3,3,4
30,No,Travel_Rarely,570,Sales,Marketing,456,Female,2,Sales Executive,3,6118,5431,1,No,13,3,3,10
27,No,Travel_Rarely,1130,Sales,Marketing,458,Female,2,Sales Executive,2,6214,3415,1,No,18,3,1,8
37,No,Travel_Rarely,1192,Research & Development,Medical,460,Male,2,Manufacturing Director,4,6347,23177,7,No,16,3,3,8
38,No,Travel_Rarely,343,Research & Development,Life Sciences,461,Male,3,Research Director,4,11510,15682,0,Yes,14,3,2,12
31,No,Travel_Rarely,1232,Research & Development,Medical,462,Female,3,Manufacturing Director,4,7143,25713,1,Yes,14,3,3,11
29,No,Travel_Rarely,144,Sales,Marketing,463,Female,2,Sales Executive,2,8268,11866,1,Yes,14,3,1,7
35,No,Travel_Rarely,1296,Research & Development,Technical Degree,464,Male,3,Manufacturing Director,2,8095,18264,0,No,13,3,4,17
23,No,Travel_Rarely,1309,Research & Development,Life Sciences,465,Male,1,Research Scientist,4,2904,16092,1,No,12,3,3,4
41,No,Travel_Rarely,483,Research & Development,Medical,466,Male,2,Manufacturing Director,2,6032,10110,6,Yes,15,3,4,8
47,No,Travel_Frequently,1309,Sales,Medical,467,Male,2,Sales Representative,3,2976,25751,3,No,19,3,1,5
42,No,Travel_Rarely,810,Research & Development,Life Sciences,468,Female,4,Research Director,4,15992,15901,2,No,14,3,2,16
29,No,Non-Travel,746,Sales,Life Sciences,469,Male,2,Sales Executive,3,4649,16928,1,No,14,3,1,4
42,No,Travel_Rarely,544,Human Resources,Technical Degree,470,Male,1,Human Resources,3,2696,24017,0,Yes,11,3,3,4
32,No,Travel_Rarely,1062,Research & Development,Medical,471,Female,1,Laboratory Technician,2,2370,3956,1,No,13,3,3,8
48,No,Travel_Rarely,530,Sales,Medical,473,Female,3,Manager,3,12504,23978,3,No,21,4,2,15
37,No,Travel_Rarely,1319,Research & Development,Medical,474,Male,2,Research Scientist,1,5974,17001,4,Yes,13,3,1,13
30,No,Non-Travel,641,Sales,Technical Degree,475,Female,2,Sales Executive,3,4736,6069,7,Yes,12,3,2,4
26,No,Travel_Rarely,933,Sales,Life Sciences,476,Male,2,Sales Executive,3,5296,20156,1,No,17,3,2,8
42,No,Travel_Rarely,1332,Research & Development,Other,477,Male,2,Healthcare Representative,4,6781,17078,3,No,23,4,2,14
21,Yes,Travel_Frequently,756,Sales,Technical Degree,478,Female,1,Sales Representative,2,2174,9150,1,Yes,11,3,3,3
36,No,Non-Travel,845,Sales,Medical,479,Female,2,Sales Executive,4,6653,15276,4,No,15,3,2,7
36,No,Travel_Frequently,541,Sales,Medical,481,Male,3,Sales Executive,4,9699,7246,4,No,11,3,1,16
57,No,Travel_Rarely,593,Research & Development,Medical,482,Male,2,Healthcare Representative,3,6755,2967,2,No,11,3,3,15
40,No,Travel_Rarely,1171,Research & Development,Life Sciences,483,Female,1,Laboratory Technician,3,2213,22495,3,Yes,13,3,3,10
21,No,Non-Travel,895,Sales,Medical,484,Male,1,Sales Representative,4,2610,2851,1,No,24,4,3,3
33,Yes,Travel_Rarely,350,Sales,Marketing,485,Female,1,Sales Representative,3,2851,9150,1,Yes,13,3,2,1
37,No,Travel_Rarely,921,Research & Development,Medical,486,Female,1,Laboratory Technician,1,3452,17663,6,No,20,4,2,17
46,No,Non-Travel,1144,Research & Development,Medical,487,Female,2,Manufacturing Director,3,5258,16044,2,No,14,3,3,7
41,Yes,Travel_Frequently,143,Sales,Marketing,488,Male,2,Sales Executive,2,9355,9558,1,No,18,3,3,8
50,No,Travel_Rarely,1046,Research & Development,Technical Degree,491,Male,3,Healthcare Representative,4,10496,2755,6,No,15,3,4,20
40,Yes,Travel_Rarely,575,Sales,Marketing,492,Male,2,Sales Executive,3,6380,6110,2,Yes,12,3,1,8
31,No,Travel_Rarely,408,Research & Development,Life Sciences,493,Male,1,Research Scientist,2,2657,7551,0,Yes,16,3,4,3
21,Yes,Travel_Rarely,156,Sales,Life Sciences,494,Female,1,Sales Representative,2,2716,25422,1,No,15,3,4,1
29,No,Travel_Rarely,1283,Research & Development,Life Sciences,495,Male,1,Research Scientist,4,2201,18168,9,No,16,3,4,6
35,No,Travel_Rarely,755,Research & Development,Life Sciences,496,Male,2,Healthcare Representative,2,6540,19394,9,No,19,3,3,10
27,No,Travel_Rarely,1469,Research & Development,Medical,497,Male,1,Laboratory Technician,2,3816,17881,1,No,11,3,2,5
28,No,Travel_Rarely,304,Sales,Life Sciences,498,Male,2,Sales Executive,4,5253,20750,1,No,16,3,4,7
49,No,Travel_Rarely,1261,Research & Development,Other,499,Male,3,Healthcare Representative,3,10965,12066,8,No,24,4,3,26
51,No,Travel_Rarely,1178,Sales,Life Sciences,500,Female,2,Sales Executive,4,4936,14862,4,No,11,3,3,18
36,No,Travel_Rarely,329,Research & Development,Life Sciences,501,Female,1,Research Scientist,3,2543,11868,4,No,13,3,2,6
34,Yes,Non-Travel,1362,Sales,Marketing,502,Male,2,Sales Executive,4,5304,4652,8,Yes,13,3,2,9
55,No,Travel_Rarely,1311,Research & Development,Life Sciences,505,Female,4,Manager,4,16659,23258,2,Yes,13,3,3,30
24,No,Travel_Rarely,1371,Sales,Marketing,507,Female,2,Sales Executive,3,4260,5915,1,Yes,12,3,4,5
30,No,Travel_Rarely,202,Sales,Technical Degree,508,Male,1,Sales Representative,2,2476,17434,1,No,18,3,1,1
26,Yes,Travel_Frequently,575,Research & Development,Technical Degree,510,Male,1,Research Scientist,1,3102,6582,0,No,22,4,3,7
22,No,Travel_Rarely,253,Research & Development,Medical,511,Female,1,Research Scientist,2,2244,24440,1,No,13,3,4,2
36,No,Travel_Rarely,164,Sales,Medical,513,Male,3,Sales Executive,3,7596,3809,1,No,13,3,2,10
30,Yes,Travel_Frequently,464,Research & Development,Technical Degree,514,Male,1,Research Scientist,4,2285,3427,9,Yes,23,4,3,3
37,No,Travel_Rarely,1107,Research & Development,Life Sciences,515,Female,1,Laboratory Technician,1,3034,26914,1,No,12,3,3,18
40,No,Travel_Rarely,759,Sales,Marketing,516,Female,2,Sales Executive,2,5715,22553,7,No,12,3,3,8
42,No,Travel_Rarely,201,Research & Development,Life Sciences,517,Female,1,Laboratory Technician,1,2576,20490,3,No,16,3,2,8
37,No,Travel_Rarely,1305,Research & Development,Life Sciences,518,Male,2,Manufacturing Director,2,4197,21123,2,Yes,12,3,4,18
43,No,Travel_Rarely,982,Research & Development,Life Sciences,520,Male,4,Research Director,2,14336,4345,1,No,11,3,3,25
40,No,Travel_Rarely,555,Research & Development,Medical,521,Female,2,Laboratory Technician,3,3448,13436,6,No,22,4,2,20
54,No,Travel_Rarely,821,Research & Development,Medical,522,Male,5,Research Director,1,19406,8509,4,No,11,3,3,24
34,No,Non-Travel,1381,Sales,Marketing,523,Female,2,Sales Executive,3,6538,12740,9,No,15,3,1,6
31,No,Travel_Rarely,480,Research & Development,Medical,524,Female,2,Manufacturing Director,1,4306,4156,1,No,12,3,2,13
43,No,Travel_Frequently,313,Research & Development,Medical,525,Male,1,Laboratory Technician,4,2258,15238,7,No,20,4,1,8
43,No,Travel_Rarely,1473,Research & Development,Other,526,Female,2,Healthcare Representative,3,4522,2227,4,Yes,14,3,4,8
25,No,Travel_Rarely,891,Sales,Life Sciences,527,Female,2,Sales Executive,4,4487,12090,1,Yes,11,3,2,5
37,No,Non-Travel,1063,Research & Development,Medical,529,Female,2,Research Scientist,3,4449,23866,3,Yes,15,3,1,15
31,No,Travel_Rarely,329,Research & Development,Life Sciences,530,Male,1,Laboratory Technician,1,2218,16193,1,No,12,3,3,4
39,No,Travel_Frequently,1218,Research & Development,Life Sciences,531,Male,5,Manager,3,19197,8213,1,Yes,14,3,3,21
56,No,Travel_Frequently,906,Sales,Life Sciences,532,Female,4,Sales Executive,1,13212,18256,9,No,11,3,4,36
30,No,Travel_Rarely,1082,Sales,Technical Degree,533,Female,2,Sales Executive,3,6577,19558,0,No,11,3,2,6
41,No,Travel_Rarely,645,Sales,Marketing,534,Male,3,Sales Executive,1,8392,19566,1,No,16,3,3,10
28,No,Travel_Rarely,1300,Research & Development,Medical,536,Male,2,Laboratory Technician,1,4558,13535,1,No,12,3,4,10
25,Yes,Travel_Rarely,688,Research & Development,Medical,538,Male,1,Laboratory Technician,1,4031,9396,5,No,13,3,3,6
52,No,Travel_Rarely,319,Research & Development,Medical,543,Male,3,Manufacturing Director,3,7969,19609,2,Yes,14,3,3,28
45,No,Travel_Rarely,192,Research & Development,Life Sciences,544,Male,1,Research Scientist,4,2654,9655,3,No,21,4,4,8
52,No,Travel_Rarely,1490,Research & Development,Life Sciences,546,Female,4,Manager,4,16555,10310,2,No,13,3,4,31
42,No,Travel_Frequently,532,Research & Development,Life Sciences,547,Female,2,Research Scientist,3,4556,12932,2,No,11,3,2,19
30,No,Travel_Rarely,317,Research & Development,Life Sciences,548,Female,2,Manufacturing Director,4,6091,24793,2,No,20,4,3,11
60,No,Travel_Rarely,422,Research & Development,Life Sciences,549,Female,5,Manager,1,19566,3854,5,No,11,3,4,33
46,No,Travel_Rarely,1485,Research & Development,Medical,550,Female,2,Manufacturing Director,3,4810,26314,2,No,14,3,3,19
42,No,Travel_Frequently,1368,Research & Development,Technical Degree,551,Female,2,Healthcare Representative,4,4523,4386,0,No,11,3,4,7
24,Yes,Travel_Rarely,1448,Sales,Technical Degree,554,Female,1,Sales Representative,2,3202,21972,1,Yes,16,3,2,6
34,Yes,Travel_Frequently,296,Sales,Marketing,555,Female,1,Sales Representative,3,2351,12253,0,No,16,3,4,3
38,No,Travel_Frequently,1490,Research & Development,Life Sciences,556,Male,1,Laboratory Technician,4,1702,12106,1,Yes,23,4,3,1
40,No,Travel_Rarely,1398,Sales,Life Sciences,558,Female,5,Manager,3,18041,13022,0,No,14,3,4,21
26,No,Travel_Rarely,1349,Research & Development,Life Sciences,560,Female,1,Research Scientist,4,2886,3032,1,No,22,4,2,3
30,No,Non-Travel,1400,Research & Development,Life Sciences,562,Male,1,Laboratory Technician,4,2097,16734,4,No,15,3,3,9
29,No,Travel_Rarely,986,Research & Development,Medical,564,Male,3,Research Director,3,11935,21526,1,No,18,3,3,10
29,Yes,Travel_Rarely,408,Research & Development,Technical Degree,565,Female,1,Research Scientist,2,2546,18300,5,No,16,3,2,6
19,Yes,Travel_Rarely,489,Human Resources,Technical Degree,566,Male,1,Human Resources,4,2564,18437,1,No,12,3,3,1
30,No,Non-Travel,1398,Sales,Other,567,Female,3,Sales Executive,1,8412,2890,0,No,11,3,3,10
57,No,Travel_Rarely,210,Sales,Marketing,568,Male,4,Manager,4,14118,22102,3,No,12,3,3,32
50,No,Travel_Rarely,1099,Research & Development,Life Sciences,569,Male,4,Manager,3,17046,9314,0,No,15,3,2,28
30,No,Non-Travel,1116,Research & Development,Medical,571,Female,1,Laboratory Technician,4,2564,7181,0,No,14,3,3,12
60,No,Travel_Frequently,1499,Sales,Marketing,573,Female,3,Sales Executive,1,10266,2845,4,No,19,3,4,22
47,No,Travel_Rarely,983,Research & Development,Medical,574,Female,2,Manufacturing Director,4,5070,7389,5,No,13,3,3,20
46,No,Travel_Rarely,1009,Research & Development,Life Sciences,575,Male,4,Research Director,3,17861,2288,6,No,13,3,3,26
35,No,Travel_Rarely,144,Research & Development,Life Sciences,577,Male,1,Laboratory Technician,3,4230,19225,0,No,15,3,3,6
54,No,Travel_Rarely,548,Research & Development,Life Sciences,578,Female,2,Laboratory Technician,3,3780,23428,7,No,11,3,3,19
34,No,Travel_Rarely,1303,Research & Development,Life Sciences,579,Male,1,Research Scientist,3,2768,8416,3,No,12,3,3,14
46,No,Travel_Rarely,1125,Sales,Marketing,580,Female,3,Sales Executive,4,9071,11563,2,Yes,19,3,3,15
31,No,Travel_Rarely,1274,Research & Development,Life Sciences,581,Male,3,Manufacturing Director,2,10648,14394,1,No,25,4,4,13
33,Yes,Travel_Rarely,1277,Research & Development,Medical,582,Male,3,Manager,3,13610,24619,7,Yes,12,3,4,15
33,Yes,Travel_Rarely,587,Research & Development,Medical,584,Male,1,Laboratory Technician,4,3408,6705,7,No,13,3,1,8
30,No,Travel_Rarely,413,Sales,Marketing,585,Male,1,Sales Representative,2,2983,18398,0,No,14,3,1,4
35,No,Travel_Rarely,1276,Research & Development,Life Sciences,586,Male,3,Healthcare Representative,3,7632,14295,4,Yes,12,3,3,10
31,Yes,Travel_Frequently,534,Research & Development,Life Sciences,587,Male,3,Healthcare Representative,3,9824,22908,3,No,12,3,1,12
34,Yes,Travel_Frequently,988,Human Resources,Human Resources,590,Female,3,Human Resources,1,9950,11533,9,Yes,15,3,3,11
42,No,Travel_Frequently,1474,Research & Development,Other,591,Male,1,Laboratory Technician,3,2093,9260,4,No,17,3,4,8
36,No,Non-Travel,635,Sales,Medical,592,Male,3,Sales Executive,4,9980,15318,1,No,14,3,4,10
22,Yes,Travel_Frequently,1368,Research & Development,Technical Degree,593,Male,1,Laboratory Technician,3,3894,9129,5,No,16,3,3,4
48,No,Travel_Rarely,163,Sales,Marketing,595,Female,2,Sales Executive,4,4051,19658,2,No,14,3,1,14
55,No,Travel_Rarely,1117,Sales,Life Sciences,597,Female,4,Manager,2,16835,9873,3,No,23,4,4,37
41,No,Non-Travel,267,Sales,Life Sciences,599,Male,2,Sales Executive,4,6230,13430,7,No,14,3,4,16
35,No,Travel_Rarely,619,Sales,Marketing,600,Male,2,Sales Executive,3,4717,18659,9,No,11,3,3,15
